Date of Expense,Quarter,Expense Category,Operating Expenses,Payment Method,Department,Supplier Name,Invoice/Receipt Reference,Expense Approval,Budgeted Amount vs. Actual Spend,Location,Department ID,Business Group
2023-04-23 00:00:00,Q2 2023,Rent,5634,Cash,Finance,Adobe Inc.,INV6026,Pending,297,Ajman,5,Etihad Engineering
2023-04-23 00:00:00,Q2 2023,Maintenance,7508,Credit Card,Finance,PayPal,INV2294,Rejected,524,Ras Al Khaimah,5,AMMROC
2023-04-23 00:00:00,Q2 2023,Marketing,9267,Bank Transfer,Sales,IBM,INV7114,Rejected,234,Ras Al Khaimah,6,GAL
2023-04-24 00:00:00,Q2 2023,Software Subscriptions,925,Credit Card,Customer Support,Intel,INV7756,Pending,-16,Sharjah,7,Abu Dhabi Aviation
2023-04-25 00:00:00,Q2 2023,Salaries,7687,Cash,Product Development,Google,INV4583,Approved,754,Abu Dhabi,8,Etihad Engineering
2023-04-25 00:00:00,Q2 2023,Software Subscriptions,6365,Credit Card,Product Development,Intuit,INV2761,Approved,1321,Sharjah,8,AMMROC
2023-04-26 00:00:00,Q2 2023,Maintenance,5859,Bank Transfer,HR,IBM,INV5947,Pending,382,Ajman,2,GAL
2023-04-27 00:00:00,Q2 2023,Maintenance,7643,Bank Transfer,Research & Development,Tencent,INV1149,Approved,796,Sharjah,9,Abu Dhabi Aviation
2023-04-27 00:00:00,Q2 2023,Salaries,1095,Bank Transfer,Customer Support,Intuit,INV8775,Pending,532,Ras Al Khaimah,7,Etihad Engineering
2023-04-28 00:00:00,Q2 2023,Marketing,8220,Bank Transfer,Operations,PayPal,INV2936,Rejected,-491,Sharjah,4,AMMROC
2023-04-28 00:00:00,Q2 2023,Utilities,8492,Credit Card,Operations,Amazon,INV9950,Pending,775,Fujairah,4,GAL
2023-04-28 00:00:00,Q2 2023,Salaries,2149,Credit Card,Product Development,HP Inc.,INV5833,Pending,515,Ajman,8,Abu Dhabi Aviation
2023-04-30 00:00:00,Q2 2023,Software Subscriptions,1116,Bank Transfer,Operations,Tencent,INV1841,Rejected,-9,Ajman,4,Etihad Engineering
2023-04-30 00:00:00,Q2 2023,Salaries,1284,Cash,Sales,Cisco Systems,INV5728,Pending,1135,Umm Al Quwain,6,AMMROC
2023-05-01 00:00:00,Q2 2023,Salaries,7660,Cash,Finance,IBM,INV1256,Pending,358,Ajman,5,GAL
2023-05-02 00:00:00,Q2 2023,Salaries,3270,Credit Card,Marketing,Huawei,INV3509,Rejected,762,Fujairah,3,Abu Dhabi Aviation
2023-05-02 00:00:00,Q2 2023,Software Subscriptions,9107,Cash,HR,Google,INV9866,Rejected,871,Fujairah,2,Etihad Engineering
2023-05-02 00:00:00,Q2 2023,Maintenance,4013,Credit Card,Research & Development,Alibaba,INV9005,Rejected,382,Ajman,9,AMMROC
2023-05-03 00:00:00,Q2 2023,Utilities,5891,Credit Card,Research & Development,Intel,INV8668,Pending,-128,Sharjah,9,GAL
2023-05-03 00:00:00,Q2 2023,Salaries,6102,Bank Transfer,IT,IBM,INV6224,Approved,924,Fujairah,1,Abu Dhabi Aviation
2023-05-04 00:00:00,Q2 2023,Maintenance,5031,Bank Transfer,Marketing,Adobe Inc.,INV4159,Pending,645,Umm Al Quwain,3,Etihad Engineering
2023-05-05 00:00:00,Q2 2023,Rent,9737,Bank Transfer,Product Development,Salesforce,INV9609,Pending,188,Abu Dhabi,8,AMMROC
2023-05-06 00:00:00,Q2 2023,Utilities,2127,Bank Transfer,Sales,Accenture,INV3262,Rejected,888,Ras Al Khaimah,6,GAL
2023-05-06 00:00:00,Q2 2023,Utilities,5834,Credit Card,Finance,Cisco Systems,INV1133,Approved,372,Ajman,5,Abu Dhabi Aviation
2023-05-06 00:00:00,Q2 2023,Utilities,9283,Cash,Finance,Salesforce,INV7167,Rejected,-406,Ras Al Khaimah,5,Etihad Engineering
2023-05-07 00:00:00,Q2 2023,Salaries,5901,Credit Card,Sales,Intel,INV2653,Pending,-252,Fujairah,6,AMMROC
2023-05-07 00:00:00,Q2 2023,Rent,306,Credit Card,Customer Support,Salesforce,INV2996,Pending,1161,Ras Al Khaimah,7,GAL
2023-05-07 00:00:00,Q2 2023,Utilities,2059,Cash,IT,Alibaba,INV6400,Pending,1117,Fujairah,1,Abu Dhabi Aviation
2023-05-08 00:00:00,Q2 2023,Salaries,9860,Bank Transfer,Research & Development,Cisco Systems,INV4214,Rejected,-423,Sharjah,9,Etihad Engineering
2023-05-08 00:00:00,Q2 2023,Salaries,1318,Credit Card,Marketing,Cisco Systems,INV8298,Pending,176,Ras Al Khaimah,3,AMMROC
2023-05-08 00:00:00,Q2 2023,Salaries,9067,Cash,Operations,IBM,INV4015,Rejected,797,Sharjah,4,GAL
2023-05-08 00:00:00,Q2 2023,Software Subscriptions,3536,Cash,IT,IBM,INV1356,Rejected,-450,Ras Al Khaimah,1,Abu Dhabi Aviation
2023-05-09 00:00:00,Q2 2023,Salaries,5550,Cash,Marketing,Salesforce,INV2641,Rejected,-328,Abu Dhabi,3,Etihad Engineering
2023-05-09 00:00:00,Q2 2023,Rent,9762,Bank Transfer,HR,Microsoft,INV6455,Approved,-155,Umm Al Quwain,2,AMMROC
2023-05-14 00:00:00,Q2 2023,Rent,6755,Bank Transfer,HR,Accenture,INV3295,Approved,296,Fujairah,2,GAL
2023-05-14 00:00:00,Q2 2023,Rent,3866,Cash,IT,Intel,INV9228,Rejected,-390,Fujairah,1,Abu Dhabi Aviation
2023-05-15 00:00:00,Q2 2023,Salaries,2098,Credit Card,Product Development,Cisco Systems,INV2465,Pending,-454,Abu Dhabi,8,Etihad Engineering
2023-05-15 00:00:00,Q2 2023,Software Subscriptions,7821,Cash,Marketing,PayPal,INV7464,Approved,-25,Abu Dhabi,3,AMMROC
2023-05-15 00:00:00,Q2 2023,Utilities,5288,Bank Transfer,Marketing,Intel,INV6269,Approved,-454,Ajman,3,GAL
2023-05-16 00:00:00,Q2 2023,Salaries,3520,Cash,Sales,Dell Technologies,INV8348,Pending,-233,Sharjah,6,Abu Dhabi Aviation
2023-05-16 00:00:00,Q2 2023,Marketing,5586,Credit Card,Product Development,Dell Technologies,INV6218,Approved,562,Ajman,8,Etihad Engineering
2023-05-16 00:00:00,Q2 2023,Marketing,7504,Bank Transfer,Research & Development,PayPal,INV4555,Rejected,144,Ras Al Khaimah,9,AMMROC
2023-05-16 00:00:00,Q2 2023,Salaries,6049,Credit Card,Research & Development,Cisco Systems,INV6411,Pending,133,Fujairah,9,GAL
2023-05-16 00:00:00,Q2 2023,Salaries,6714,Bank Transfer,Operations,Cisco Systems,INV6253,Rejected,853,Sharjah,4,Abu Dhabi Aviation
2023-05-16 00:00:00,Q2 2023,Utilities,7038,Credit Card,Finance,HP Inc.,INV5480,Approved,253,Ajman,5,Etihad Engineering
2023-05-16 00:00:00,Q2 2023,Maintenance,6387,Credit Card,HR,Tencent,INV8007,Approved,1227,Dubai,2,AMMROC
2023-05-16 00:00:00,Q2 2023,Marketing,5322,Credit Card,Research & Development,Alibaba,INV7821,Rejected,260,Ras Al Khaimah,9,GAL
2023-05-17 00:00:00,Q2 2023,Rent,5964,Bank Transfer,Product Development,Oracle,INV3587,Pending,-298,Sharjah,8,Abu Dhabi Aviation
2023-05-17 00:00:00,Q2 2023,Utilities,6848,Bank Transfer,Marketing,IBM,INV9882,Rejected,1029,Ajman,3,Etihad Engineering
2023-05-17 00:00:00,Q2 2023,Rent,8671,Credit Card,Research & Development,Huawei,INV6139,Rejected,133,Umm Al Quwain,9,AMMROC
2023-05-18 00:00:00,Q2 2023,Software Subscriptions,9096,Credit Card,Marketing,IBM,INV4150,Pending,375,Abu Dhabi,3,GAL
2023-05-19 00:00:00,Q2 2023,Rent,5718,Credit Card,Research & Development,Salesforce,INV8837,Pending,1180,Fujairah,9,Abu Dhabi Aviation
2023-05-20 00:00:00,Q2 2023,Salaries,9304,Credit Card,HR,Cisco Systems,INV9775,Pending,989,Abu Dhabi,2,Etihad Engineering
2023-05-21 00:00:00,Q2 2023,Utilities,5291,Cash,Research & Development,Huawei,INV9793,Approved,366,Abu Dhabi,9,AMMROC
2023-05-22 00:00:00,Q2 2023,Salaries,4349,Bank Transfer,Product Development,IBM,INV2922,Approved,1253,Fujairah,8,GAL
2023-05-23 00:00:00,Q2 2023,Maintenance,9974,Credit Card,Research & Development,Cisco Systems,INV8454,Approved,-324,Fujairah,9,Abu Dhabi Aviation
2023-05-23 00:00:00,Q2 2023,Salaries,7992,Cash,Finance,Microsoft,INV9589,Pending,753,Abu Dhabi,5,Etihad Engineering
2023-05-23 00:00:00,Q2 2023,Salaries,3656,Credit Card,HR,Huawei,INV1742,Approved,622,Sharjah,2,AMMROC
2023-05-23 00:00:00,Q2 2023,Salaries,3105,Cash,Product Development,Oracle,INV3363,Approved,350,Ras Al Khaimah,8,GAL
2023-05-23 00:00:00,Q2 2023,Utilities,3067,Credit Card,Sales,PayPal,INV8993,Pending,-356,Fujairah,6,Abu Dhabi Aviation
2023-05-23 00:00:00,Q2 2023,Marketing,1222,Cash,Product Development,Alibaba,INV1108,Pending,735,Ras Al Khaimah,8,Etihad Engineering
2023-05-23 00:00:00,Q2 2023,Salaries,6993,Cash,Finance,Amazon,INV8575,Rejected,1401,Umm Al Quwain,5,AMMROC
2023-05-25 00:00:00,Q2 2023,Salaries,1764,Credit Card,HR,Accenture,INV4120,Rejected,103,Abu Dhabi,2,GAL
2023-05-26 00:00:00,Q2 2023,Salaries,4242,Credit Card,Sales,Google,INV9813,Approved,897,Sharjah,6,Abu Dhabi Aviation
2023-05-27 00:00:00,Q2 2023,Maintenance,706,Credit Card,Finance,Microsoft,INV7154,Rejected,577,Ajman,5,Etihad Engineering
2023-05-29 00:00:00,Q2 2023,Rent,7729,Bank Transfer,Finance,Alibaba,INV5350,Approved,597,Dubai,5,AMMROC
2023-05-31 00:00:00,Q2 2023,Marketing,7655,Cash,IT,Tencent,INV9025,Pending,133,Ras Al Khaimah,1,GAL
2023-05-31 00:00:00,Q2 2023,Marketing,5675,Credit Card,HR,Oracle,INV4267,Rejected,750,Fujairah,2,Abu Dhabi Aviation
2023-06-01 00:00:00,Q2 2023,Maintenance,6202,Credit Card,Product Development,PayPal,INV7439,Pending,123,Sharjah,8,Etihad Engineering
2023-06-02 00:00:00,Q2 2023,Maintenance,1953,Cash,Marketing,Amazon,INV3880,Rejected,1036,Umm Al Quwain,3,AMMROC
2023-06-03 00:00:00,Q2 2023,Software Subscriptions,3869,Bank Transfer,Marketing,Salesforce,INV4621,Approved,-432,Umm Al Quwain,3,GAL
2023-06-03 00:00:00,Q2 2023,Salaries,5277,Credit Card,Product Development,Adobe Inc.,INV7363,Rejected,-408,Dubai,8,Abu Dhabi Aviation
2023-06-04 00:00:00,Q2 2023,Salaries,4565,Credit Card,Product Development,Cisco Systems,INV3365,Approved,399,Fujairah,8,Etihad Engineering
2023-06-06 00:00:00,Q2 2023,Maintenance,512,Cash,HR,Dell Technologies,INV3474,Rejected,1476,Dubai,2,AMMROC
2023-06-07 00:00:00,Q2 2023,Utilities,9187,Bank Transfer,Product Development,Intuit,INV3390,Pending,138,Dubai,8,GAL
2023-06-07 00:00:00,Q2 2023,Marketing,1807,Credit Card,IT,Intel,INV9261,Pending,167,Fujairah,1,Abu Dhabi Aviation
2023-06-09 00:00:00,Q2 2023,Marketing,6646,Cash,Sales,Google,INV8822,Pending,-40,Fujairah,6,Etihad Engineering
2023-06-10 00:00:00,Q2 2023,Salaries,9263,Cash,Product Development,Amazon,INV4836,Rejected,-317,Ras Al Khaimah,8,AMMROC
2023-06-10 00:00:00,Q2 2023,Maintenance,5954,Cash,Marketing,Salesforce,INV5888,Rejected,352,Ajman,3,GAL
2023-06-11 00:00:00,Q2 2023,Salaries,2468,Bank Transfer,Product Development,Huawei,INV1924,Rejected,-368,Abu Dhabi,8,Abu Dhabi Aviation
2023-06-11 00:00:00,Q2 2023,Software Subscriptions,1248,Bank Transfer,IT,Amazon,INV5923,Approved,1297,Umm Al Quwain,1,Etihad Engineering
2023-06-11 00:00:00,Q2 2023,Maintenance,7315,Credit Card,Research & Development,Cisco Systems,INV5331,Rejected,1310,Abu Dhabi,9,AMMROC
2023-06-11 00:00:00,Q2 2023,Maintenance,5156,Cash,Research & Development,Salesforce,INV4684,Rejected,213,Fujairah,9,GAL
2023-06-15 00:00:00,Q2 2023,Utilities,5955,Bank Transfer,Finance,Dell Technologies,INV8444,Approved,283,Fujairah,5,Abu Dhabi Aviation
2023-06-16 00:00:00,Q2 2023,Maintenance,3199,Bank Transfer,Operations,Alibaba,INV9734,Rejected,1327,Ajman,4,Etihad Engineering
2023-06-18 00:00:00,Q2 2023,Software Subscriptions,2604,Cash,Sales,Adobe Inc.,INV8916,Rejected,36,Abu Dhabi,6,AMMROC
2023-06-19 00:00:00,Q2 2023,Utilities,6906,Cash,Customer Support,Salesforce,INV9777,Rejected,669,Umm Al Quwain,7,GAL
2023-06-19 00:00:00,Q2 2023,Salaries,3208,Credit Card,Finance,Intuit,INV4590,Rejected,588,Dubai,5,Abu Dhabi Aviation
2023-06-20 00:00:00,Q2 2023,Rent,3473,Credit Card,Research & Development,IBM,INV3293,Approved,-138,Dubai,9,Etihad Engineering
2023-06-20 00:00:00,Q2 2023,Software Subscriptions,7353,Cash,Marketing,SAP,INV4350,Pending,596,Ras Al Khaimah,3,AMMROC
2023-06-22 00:00:00,Q2 2023,Marketing,5493,Bank Transfer,Customer Support,Cisco Systems,INV6456,Rejected,447,Umm Al Quwain,7,GAL
2023-06-23 00:00:00,Q2 2023,Software Subscriptions,2485,Cash,Finance,Salesforce,INV5285,Pending,208,Umm Al Quwain,5,Abu Dhabi Aviation
2023-06-23 00:00:00,Q2 2023,Marketing,9819,Credit Card,Customer Support,Intel,INV2489,Pending,496,Sharjah,7,Etihad Engineering
2023-06-24 00:00:00,Q2 2023,Software Subscriptions,1628,Cash,HR,Intuit,INV1659,Pending,592,Fujairah,2,AMMROC
2023-06-24 00:00:00,Q2 2023,Maintenance,7626,Credit Card,Operations,IBM,INV8793,Approved,752,Ras Al Khaimah,4,GAL
2023-06-25 00:00:00,Q2 2023,Marketing,7905,Bank Transfer,HR,HP Inc.,INV7179,Rejected,33,Fujairah,2,Abu Dhabi Aviation
2023-06-26 00:00:00,Q2 2023,Salaries,9655,Credit Card,Customer Support,Oracle,INV3290,Pending,667,Ajman,7,Etihad Engineering
2023-06-28 00:00:00,Q2 2023,Maintenance,4969,Bank Transfer,HR,Microsoft,INV3444,Pending,706,Abu Dhabi,2,AMMROC
2023-06-29 00:00:00,Q2 2023,Maintenance,9808,Credit Card,IT,IBM,INV2113,Approved,562,Abu Dhabi,1,GAL
2023-06-29 00:00:00,Q2 2023,Utilities,4179,Bank Transfer,Research & Development,Amazon,INV9719,Rejected,-476,Ras Al Khaimah,9,Abu Dhabi Aviation
2023-07-01 00:00:00,Q3 2023,Software Subscriptions,4987,Credit Card,IT,Dell Technologies,INV4125,Rejected,916,Dubai,1,Etihad Engineering
2023-07-01 00:00:00,Q3 2023,Utilities,5073,Bank Transfer,Product Development,HP Inc.,INV9281,Pending,-96,Ajman,8,AMMROC
2023-07-01 00:00:00,Q3 2023,Salaries,2838,Bank Transfer,HR,Microsoft,INV7223,Pending,-136,Dubai,2,GAL
2023-07-03 00:00:00,Q3 2023,Maintenance,1787,Credit Card,Product Development,SAP,INV7841,Rejected,25,Fujairah,8,Abu Dhabi Aviation
2023-07-03 00:00:00,Q3 2023,Maintenance,7141,Bank Transfer,Marketing,Dell Technologies,INV9446,Rejected,674,Ajman,3,Etihad Engineering
2023-07-05 00:00:00,Q3 2023,Software Subscriptions,3943,Credit Card,Sales,Salesforce,INV1272,Rejected,738,Fujairah,6,AMMROC
2023-07-05 00:00:00,Q3 2023,Utilities,2890,Credit Card,Marketing,IBM,INV5712,Rejected,1458,Abu Dhabi,3,GAL
2023-07-05 00:00:00,Q3 2023,Software Subscriptions,5272,Bank Transfer,Customer Support,Intel,INV3198,Pending,931,Ras Al Khaimah,7,Abu Dhabi Aviation
2023-07-06 00:00:00,Q3 2023,Software Subscriptions,6403,Bank Transfer,Research & Development,Alibaba,INV1265,Rejected,-445,Dubai,9,Etihad Engineering
2023-07-06 00:00:00,Q3 2023,Maintenance,8629,Bank Transfer,HR,Google,INV4968,Approved,1176,Ajman,2,AMMROC
2023-07-09 00:00:00,Q3 2023,Software Subscriptions,9923,Cash,Finance,Oracle,INV6246,Pending,-493,Umm Al Quwain,5,GAL
2023-07-09 00:00:00,Q3 2023,Utilities,7127,Credit Card,Sales,Accenture,INV4012,Rejected,1494,Ras Al Khaimah,6,Abu Dhabi Aviation
2023-07-09 00:00:00,Q3 2023,Rent,9368,Credit Card,Operations,HP Inc.,INV2800,Approved,-331,Abu Dhabi,4,Etihad Engineering
2023-07-11 00:00:00,Q3 2023,Maintenance,1736,Cash,Operations,SAP,INV1613,Approved,-30,Sharjah,4,AMMROC
2023-07-11 00:00:00,Q3 2023,Rent,3011,Bank Transfer,Operations,HP Inc.,INV5272,Pending,408,Ajman,4,GAL
2023-07-13 00:00:00,Q3 2023,Maintenance,3252,Credit Card,HR,Huawei,INV9311,Rejected,434,Ras Al Khaimah,2,Abu Dhabi Aviation
2023-07-14 00:00:00,Q3 2023,Salaries,7613,Cash,Operations,Amazon,INV8487,Pending,1007,Ras Al Khaimah,4,Etihad Engineering
2023-07-14 00:00:00,Q3 2023,Marketing,6539,Bank Transfer,IT,Accenture,INV3793,Rejected,776,Ajman,1,AMMROC
2023-07-14 00:00:00,Q3 2023,Utilities,3544,Credit Card,Sales,Amazon,INV7887,Approved,270,Umm Al Quwain,6,GAL
2023-07-14 00:00:00,Q3 2023,Salaries,5358,Credit Card,IT,SAP,INV6325,Approved,-1,Umm Al Quwain,1,Abu Dhabi Aviation
2023-07-15 00:00:00,Q3 2023,Maintenance,8908,Credit Card,Sales,Google,INV2217,Pending,538,Abu Dhabi,6,Etihad Engineering
2023-07-15 00:00:00,Q3 2023,Rent,9889,Cash,IT,Accenture,INV9700,Approved,-443,Ras Al Khaimah,1,AMMROC
2023-07-17 00:00:00,Q3 2023,Maintenance,6015,Credit Card,Sales,Google,INV1831,Approved,-367,Sharjah,6,GAL
2023-07-19 00:00:00,Q3 2023,Utilities,2427,Bank Transfer,Product Development,SAP,INV7266,Approved,829,Abu Dhabi,8,Abu Dhabi Aviation
2023-07-22 00:00:00,Q3 2023,Rent,7485,Credit Card,HR,Alibaba,INV9011,Rejected,649,Abu Dhabi,2,Etihad Engineering
2023-07-22 00:00:00,Q3 2023,Salaries,9458,Cash,HR,Amazon,INV4881,Approved,284,Sharjah,2,AMMROC
2023-07-24 00:00:00,Q3 2023,Rent,963,Cash,Operations,Google,INV1689,Pending,884,Sharjah,4,GAL
2023-07-24 00:00:00,Q3 2023,Marketing,9661,Credit Card,Marketing,HP Inc.,INV6301,Rejected,231,Fujairah,3,Abu Dhabi Aviation
2023-07-24 00:00:00,Q3 2023,Rent,5204,Bank Transfer,Operations,Accenture,INV1274,Rejected,-434,Ajman,4,Etihad Engineering
2023-07-24 00:00:00,Q3 2023,Software Subscriptions,6088,Cash,Customer Support,IBM,INV1990,Approved,311,Umm Al Quwain,7,AMMROC
2023-07-25 00:00:00,Q3 2023,Marketing,2554,Credit Card,IT,Oracle,INV8932,Pending,-56,Abu Dhabi,1,GAL
2023-07-25 00:00:00,Q3 2023,Salaries,9535,Bank Transfer,Sales,Intel,INV7698,Pending,173,Dubai,6,Abu Dhabi Aviation
2023-07-26 00:00:00,Q3 2023,Salaries,7443,Bank Transfer,Marketing,PayPal,INV4943,Approved,-66,Dubai,3,Etihad Engineering
2023-07-26 00:00:00,Q3 2023,Maintenance,4087,Cash,Customer Support,Tencent,INV9008,Rejected,546,Ras Al Khaimah,7,AMMROC
2023-07-28 00:00:00,Q3 2023,Utilities,5487,Credit Card,HR,Cisco Systems,INV9180,Approved,25,Fujairah,2,GAL
2023-07-28 00:00:00,Q3 2023,Utilities,8545,Credit Card,HR,Tencent,INV9653,Approved,1452,Fujairah,2,Abu Dhabi Aviation
2023-07-28 00:00:00,Q3 2023,Marketing,4742,Bank Transfer,Operations,Accenture,INV2130,Rejected,595,Fujairah,4,Etihad Engineering
2023-07-30 00:00:00,Q3 2023,Rent,9045,Cash,IT,Alibaba,INV9954,Pending,1274,Umm Al Quwain,1,AMMROC
2023-07-30 00:00:00,Q3 2023,Rent,2969,Cash,Marketing,Tencent,INV9792,Pending,17,Umm Al Quwain,3,GAL
2023-07-31 00:00:00,Q3 2023,Marketing,4480,Credit Card,Research & Development,Accenture,INV3756,Approved,1146,Ras Al Khaimah,9,Abu Dhabi Aviation
2023-08-03 00:00:00,Q3 2023,Marketing,2847,Cash,Customer Support,HP Inc.,INV7453,Approved,217,Ajman,7,Etihad Engineering
2023-08-03 00:00:00,Q3 2023,Marketing,7071,Cash,Customer Support,Amazon,INV7590,Pending,41,Ras Al Khaimah,7,AMMROC
2023-08-05 00:00:00,Q3 2023,Salaries,1367,Cash,Operations,Tencent,INV9193,Rejected,384,Abu Dhabi,4,GAL
2023-08-05 00:00:00,Q3 2023,Software Subscriptions,7049,Credit Card,HR,Intel,INV1741,Pending,865,Dubai,2,Abu Dhabi Aviation
2023-08-05 00:00:00,Q3 2023,Maintenance,4382,Bank Transfer,Operations,HP Inc.,INV2421,Rejected,458,Dubai,4,Etihad Engineering
2023-08-05 00:00:00,Q3 2023,Software Subscriptions,1159,Bank Transfer,Sales,Oracle,INV2789,Pending,428,Umm Al Quwain,6,AMMROC
2023-08-05 00:00:00,Q3 2023,Maintenance,3247,Bank Transfer,Marketing,HP Inc.,INV4113,Rejected,601,Ajman,3,GAL
2023-08-05 00:00:00,Q3 2023,Marketing,3270,Credit Card,IT,Accenture,INV2314,Rejected,-265,Abu Dhabi,1,Abu Dhabi Aviation
2023-08-05 00:00:00,Q3 2023,Software Subscriptions,4533,Bank Transfer,Product Development,Microsoft,INV4312,Approved,322,Umm Al Quwain,8,Etihad Engineering
2023-08-05 00:00:00,Q3 2023,Utilities,3546,Bank Transfer,Finance,SAP,INV8484,Approved,601,Ras Al Khaimah,5,AMMROC
2023-08-07 00:00:00,Q3 2023,Rent,9927,Credit Card,Finance,Huawei,INV6886,Approved,-151,Ras Al Khaimah,5,GAL
2023-08-08 00:00:00,Q3 2023,Utilities,1584,Credit Card,Operations,HP Inc.,INV3399,Pending,328,Ajman,4,Abu Dhabi Aviation
2023-08-09 00:00:00,Q3 2023,Marketing,2939,Credit Card,Sales,Salesforce,INV7781,Pending,1215,Ajman,6,Etihad Engineering
2023-08-09 00:00:00,Q3 2023,Rent,3061,Cash,Marketing,Microsoft,INV9972,Rejected,-116,Ajman,3,AMMROC
2023-08-11 00:00:00,Q3 2023,Salaries,5630,Cash,Research & Development,Tencent,INV5706,Pending,1182,Fujairah,9,GAL
2023-08-13 00:00:00,Q3 2023,Maintenance,7179,Bank Transfer,Finance,Accenture,INV4948,Rejected,1043,Ajman,5,Abu Dhabi Aviation
2023-08-13 00:00:00,Q3 2023,Maintenance,1834,Bank Transfer,Marketing,SAP,INV7284,Pending,1081,Fujairah,3,Etihad Engineering
2023-08-15 00:00:00,Q3 2023,Salaries,6717,Bank Transfer,IT,Google,INV7236,Approved,-287,Umm Al Quwain,1,AMMROC
2023-08-15 00:00:00,Q3 2023,Salaries,5995,Bank Transfer,Sales,Intuit,INV5169,Approved,216,Ras Al Khaimah,6,GAL
2023-08-18 00:00:00,Q3 2023,Marketing,9246,Bank Transfer,HR,IBM,INV9409,Pending,668,Fujairah,2,Abu Dhabi Aviation
2023-08-18 00:00:00,Q3 2023,Marketing,289,Cash,Marketing,Microsoft,INV6555,Rejected,907,Sharjah,3,Etihad Engineering
2023-08-20 00:00:00,Q3 2023,Software Subscriptions,8780,Cash,IT,Huawei,INV8319,Rejected,776,Umm Al Quwain,1,AMMROC
2023-08-21 00:00:00,Q3 2023,Salaries,3848,Bank Transfer,Research & Development,Intel,INV5676,Approved,964,Abu Dhabi,9,GAL
2023-08-21 00:00:00,Q3 2023,Maintenance,6963,Cash,Product Development,Google,INV7229,Approved,1042,Ajman,8,Abu Dhabi Aviation
2023-08-21 00:00:00,Q3 2023,Software Subscriptions,401,Cash,HR,Dell Technologies,INV7184,Approved,1484,Fujairah,2,Etihad Engineering
2023-08-23 00:00:00,Q3 2023,Utilities,674,Credit Card,Product Development,Google,INV7775,Rejected,45,Abu Dhabi,8,AMMROC
2023-08-23 00:00:00,Q3 2023,Rent,7609,Credit Card,Research & Development,Dell Technologies,INV3869,Pending,-296,Sharjah,9,GAL
